instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran
,0.024444444,-0.412222222,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"In this task you will judge whether a string of letters forms a word or not (i.e., is a nonword). Look at the cross at the start of each trial. After a second, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). If your device has a keyboard, press the 'a' key for nonwords and the 'l' key for words. If your device does not have a keyboard, touch the left button on the screen for nonwords and the right button for words. Do not use the mouse as this will slow down your response. Press the space bar or click the button below to continue.",PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,l,1,1.24,,,,,,,,1.24,1,0,0,0,4,1,1005,WORD,UN,33,abound,SQUEAK,l,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,l,1,0.685,,,,,,,,0.685,1,0,1,1,1,1,1002,WORD,"ID",33,adjust,ADJUST,l,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,a,1,0.607,,,,,,,,0.607,1,0,2,2,11,1,1012,NW,"ID",50,rashet,RASHET,a,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.607,-1,0,3,3,9,1,1010,NW,"ID",33,fariny,FARINY,a,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,l,1,0.772,,,,,,,,0.772,1,0,4,4,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,l,1,0.906,,,,,,,,0.906,1,0,5,5,3,1,1004,WORD,"ID",50,matrix,MATRIX,l,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,a,1,0.932,,,,,,,,0.932,1,0,6,6,14,1,1015,NW,UN,50,miaber,THRALE,a,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.932,-1,0,7,7,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.932,-1,0,8,8,15,1,1016,NW,UN,50,mushed,WHAISE,a,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.932,-1,0,9,9,13,1,1014,NW,UN,33,winfer,ROUPET,a,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.932,-1,0,10,10,12,1,1013,NW,UN,33,adveil,SPRINY,a,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.932,-1,0,11,11,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.932,-1,0,12,12,2,1,1003,WORD,"ID",50,almond,ALMOND,l,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.932,-1,0,13,13,7,1,1008,WORD,UN,50,hurdle,VOLUME,l,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.932,-1,0,14,14,8,1,1009,NW,"ID",33,aslert,ASLERT,a,,,,,
,,,,,,,,,,,,,,,PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,0,,,,,,,,,0.932,-1,0,15,15,10,1,1011,NW,"ID",50,inlade,INLADE,a,,,,,
,-0.040612517,-0.448069241,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 10 minutes, as the experiment cannot be paused and we cannot use your data if you do not complete all the trials. When you are ready to start the experimental trials, please press space or touch the button below.",PABLO,2020-07-21_17h42.29.169,lexical_decision_task_MP,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
