StimulusType,Condition,PrimeDuration,corr,q,N,mean_qRT,mean_min,mean_max
Nonword,Identical,16 ms,0,0.1,68,593.3990882352941,569.7930147058823,871.6482352941176
Nonword,Identical,16 ms,0,0.3,68,638.2271838235295,569.7930147058823,871.6482352941176
Nonword,Identical,16 ms,0,0.5,68,685.7294117647059,569.7930147058823,871.6482352941176
Nonword,Identical,16 ms,0,0.7,68,746.0825294117647,569.7930147058823,871.6482352941176
Nonword,Identical,16 ms,0,0.9,68,823.87575,569.7930147058823,871.6482352941176
Nonword,Identical,16 ms,1,0.1,79,581.1781772151899,515.9029746835444,1275.590253164557
Nonword,Identical,16 ms,1,0.3,79,637.0238924050633,515.9029746835444,1275.590253164557
Nonword,Identical,16 ms,1,0.5,79,684.6560126582278,515.9029746835444,1275.590253164557
Nonword,Identical,16 ms,1,0.7,79,751.0950632911392,515.9029746835444,1275.590253164557
Nonword,Identical,16 ms,1,0.9,79,891.3293860759494,515.9029746835444,1275.590253164557
Nonword,Identical,33 ms,0,0.1,70,599.4325357142857,571.7777142857143,920.3449285714286
Nonword,Identical,33 ms,0,0.3,70,649.1060357142858,571.7777142857143,920.3449285714286
Nonword,Identical,33 ms,0,0.5,70,698.1703214285715,571.7777142857143,920.3449285714286
Nonword,Identical,33 ms,0,0.7,70,776.8331214285714,571.7777142857143,920.3449285714286
Nonword,Identical,33 ms,0,0.9,70,863.9342357142857,571.7777142857143,920.3449285714286
Nonword,Identical,33 ms,1,0.1,79,572.916829113924,508.82759493670886,1302.8083544303797
Nonword,Identical,33 ms,1,0.3,79,628.1593797468355,508.82759493670886,1302.8083544303797
Nonword,Identical,33 ms,1,0.5,79,678.4572151898734,508.82759493670886,1302.8083544303797
Nonword,Identical,33 ms,1,0.7,79,747.6171392405063,508.82759493670886,1302.8083544303797
Nonword,Identical,33 ms,1,0.9,79,910.2740253164558,508.82759493670886,1302.8083544303797
Nonword,Unrelated,16 ms,0,0.1,66,631.0285757575757,601.5643181818182,929.3931818181818
Nonword,Unrelated,16 ms,0,0.3,66,686.4962727272728,601.5643181818182,929.3931818181818
Nonword,Unrelated,16 ms,0,0.5,66,731.3285984848485,601.5643181818182,929.3931818181818
Nonword,Unrelated,16 ms,0,0.7,66,783.144856060606,601.5643181818182,929.3931818181818
Nonword,Unrelated,16 ms,0,0.9,66,867.5049621212121,601.5643181818182,929.3931818181818
Nonword,Unrelated,16 ms,1,0.1,79,580.3414810126583,507.7410759493671,1226.7848734177214
Nonword,Unrelated,16 ms,1,0.3,79,637.9687088607595,507.7410759493671,1226.7848734177214
Nonword,Unrelated,16 ms,1,0.5,79,687.3415189873417,507.7410759493671,1226.7848734177214
Nonword,Unrelated,16 ms,1,0.7,79,754.1436518987341,507.7410759493671,1226.7848734177214
Nonword,Unrelated,16 ms,1,0.9,79,894.6567341772152,507.7410759493671,1226.7848734177214
Nonword,Unrelated,33 ms,0,0.1,72,626.2544375,604.73875,893.3
Nonword,Unrelated,33 ms,0,0.3,72,669.0954861111111,604.73875,893.3
Nonword,Unrelated,33 ms,0,0.5,72,715.6559375,604.73875,893.3
Nonword,Unrelated,33 ms,0,0.7,72,771.0946805555556,604.73875,893.3
Nonword,Unrelated,33 ms,0,0.9,72,849.4831597222222,604.73875,893.3
Nonword,Unrelated,33 ms,1,0.1,79,572.2423607594936,501.4123417721519,1252.7638607594936
Nonword,Unrelated,33 ms,1,0.3,79,627.557917721519,501.4123417721519,1252.7638607594936
Nonword,Unrelated,33 ms,1,0.5,79,681.282911392405,501.4123417721519,1252.7638607594936
Nonword,Unrelated,33 ms,1,0.7,79,752.7301962025316,501.4123417721519,1252.7638607594936
Nonword,Unrelated,33 ms,1,0.9,79,898.1434050632912,501.4123417721519,1252.7638607594936
Word,Identical,16 ms,0,0.1,66,596.8237424242425,573.6240909090909,800.3484090909091
Word,Identical,16 ms,0,0.3,66,634.3088939393939,573.6240909090909,800.3484090909091
Word,Identical,16 ms,0,0.5,66,664.3345833333333,573.6240909090909,800.3484090909091
Word,Identical,16 ms,0,0.7,66,701.5891666666666,573.6240909090909,800.3484090909091
Word,Identical,16 ms,0,0.9,66,767.7663409090909,573.6240909090909,800.3484090909091
Word,Identical,16 ms,1,0.1,79,537.4245569620253,480.1380379746835,1158.3255696202532
Word,Identical,16 ms,1,0.3,79,586.883253164557,480.1380379746835,1158.3255696202532
Word,Identical,16 ms,1,0.5,79,628.8625949367089,480.1380379746835,1158.3255696202532
Word,Identical,16 ms,1,0.7,79,684.7528734177215,480.1380379746835,1158.3255696202532
Word,Identical,16 ms,1,0.9,79,808.4650443037975,480.1380379746835,1158.3255696202532
Word,Identical,33 ms,0,0.1,61,580.973762295082,568.0369672131147,771.2527868852459
Word,Identical,33 ms,0,0.3,61,611.5364098360656,568.0369672131147,771.2527868852459
Word,Identical,33 ms,0,0.5,61,640.7870901639344,568.0369672131147,771.2527868852459
Word,Identical,33 ms,0,0.7,61,679.5604836065573,568.0369672131147,771.2527868852459
Word,Identical,33 ms,0,0.9,61,740.1320409836065,568.0369672131147,771.2527868852459
Word,Identical,33 ms,1,0.1,79,527.9394746835443,467.2032911392405,1125.9970253164556
Word,Identical,33 ms,1,0.3,79,579.0845443037974,467.2032911392405,1125.9970253164556
Word,Identical,33 ms,1,0.5,79,622.8772468354431,467.2032911392405,1125.9970253164556
Word,Identical,33 ms,1,0.7,79,678.2803987341772,467.2032911392405,1125.9970253164556
Word,Identical,33 ms,1,0.9,79,794.551259493671,467.2032911392405,1125.9970253164556
Word,Unrelated,16 ms,0,0.1,60,570.04055,551.8485833333333,781.0990833333333
Word,Unrelated,16 ms,0,0.3,60,604.3033166666667,551.8485833333333,781.0990833333333
Word,Unrelated,16 ms,0,0.5,60,636.8238333333334,551.8485833333333,781.0990833333333
Word,Unrelated,16 ms,0,0.7,60,680.3502666666667,551.8485833333333,781.0990833333333
Word,Unrelated,16 ms,0,0.9,60,739.935625,551.8485833333333,781.0990833333333
Word,Unrelated,16 ms,1,0.1,79,536.8679050632911,478.28822784810126,1201.8827848101266
Word,Unrelated,16 ms,1,0.3,79,585.7649746835443,478.28822784810126,1201.8827848101266
Word,Unrelated,16 ms,1,0.5,79,632.3017405063291,478.28822784810126,1201.8827848101266
Word,Unrelated,16 ms,1,0.7,79,686.2546518987341,478.28822784810126,1201.8827848101266
Word,Unrelated,16 ms,1,0.9,79,807.6533987341772,478.28822784810126,1201.8827848101266
Word,Unrelated,33 ms,0,0.1,71,596.2397746478873,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,0,0.3,71,626.4763661971831,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,0,0.5,71,657.0108450704225,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,0,0.7,71,704.7249295774648,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,0,0.9,71,775.9866690140844,580.6243661971831,814.776338028169
Word,Unrelated,33 ms,1,0.1,79,543.9205,480.89113924050633,1163.3187974683544
Word,Unrelated,33 ms,1,0.3,79,593.9076202531645,480.89113924050633,1163.3187974683544
Word,Unrelated,33 ms,1,0.5,79,637.2848734177215,480.89113924050633,1163.3187974683544
Word,Unrelated,33 ms,1,0.7,79,695.0448417721519,480.89113924050633,1163.3187974683544
Word,Unrelated,33 ms,1,0.9,79,816.954417721519,480.89113924050633,1163.3187974683544
